source	target
0	5
0	4
0	3
0	2
0	1
1	15
1	5
1	4
1	2
1	0
2	14
2	13
2	11
2	0
3	67
3	66
3	65
3	64
3	63
4	19
4	18
4	17
4	16
4	7
5	10
5	8
5	7
5	6
6	20
6	8
6	7
6	5
7	30
7	8
7	5
8	24
8	23
8	22
8	21
8	13
10	7
10	5
11	26
11	25
11	20
11	6
13	23
13	21
13	20
14	28
14	27
14	21
14	13
15	72
15	71
15	70
15	69
16	75
16	73
16	19
16	7
16	4
17	31
17	30
17	8
17	7
17	6
18	36
18	35
18	34
18	33
18	32
19	75
19	74
19	73
19	16
19	4
20	30
20	23
20	8
20	7
20	6
21	77
21	28
21	23
21	13
22	39
22	38
22	37
22	23
22	8
23	20
23	13
23	8
24	44
24	43
24	42
24	41
24	40
25	47
25	46
25	45
25	11
26	11
27	78
27	77
27	21
27	13
28	82
28	81
28	80
28	79
28	20
30	50
30	49
30	48
30	8
31	85
31	84
31	83
31	17
32	51
32	18
33	95
33	93
33	56
34	53
34	52
34	51
34	32
34	18
35	56
35	55
35	54
35	33
35	18
36	18
37	97
37	23
37	22
37	8
38	22
39	87
39	86
39	38
39	37
39	22
40	43
40	42
40	41
40	24
40	8
41	44
41	43
41	42
41	40
41	24
42	43
42	41
42	40
42	24
42	8
43	44
43	42
43	41
43	40
43	24
44	43
44	42
44	41
44	40
44	24
45	88
45	59
45	46
45	25
45	11
46	88
46	59
46	45
46	25
46	11
47	59
47	58
47	57
47	25
47	11
48	49
48	30
49	48
49	30
50	90
50	89
50	49
50	30
51	34
51	32
51	18
52	34
53	62
53	61
53	60
53	54
53	35
54	84
54	60
54	53
54	35
55	92
55	91
55	54
55	53
55	35
56	96
56	95
56	93
56	33
57	88
57	59
57	47
57	25
57	11
58	59
58	47
58	45
58	25
58	11
59	88
59	46
59	45
59	25
59	11
60	54
60	53
61	53
61	35
62	60
62	54
62	53
62	35
63	99
63	98
63	97
63	64
63	30
64	98
64	66
64	63
65	100
65	99
65	66
65	63
66	65
66	64
66	63
67	98
67	63
67	30
69	72
69	15
70	71
70	15
71	70
71	15
72	69
72	15
73	74
73	19
73	16
73	4
74	73
74	19
74	16
74	4
75	19
75	16
75	4
77	28
78	23
78	20
79	82
79	81
79	28
79	13
80	97
80	82
80	28
80	8
81	28
82	80
83	31
83	17
84	54
84	31
84	18
85	31
85	17
86	87
86	39
86	38
86	22
87	86
87	39
87	37
88	59
88	46
88	45
88	25
88	11
89	90
89	50
89	49
89	30
90	89
90	50
90	48
91	92
91	55
91	35
92	91
92	55
92	35
93	95
93	56
93	33
95	93
95	56
95	33
96	95
96	56
96	33
97	100
97	63
97	8
98	63
98	30
98	8
99	63
99	8
100	99
100	97
100	63
